page|type|price|address_x|description|weblink|rooms|size|price2|1 zimmer|1.5 zimmer|13 zimmer|2 zimmer|2.5 zimmer|20 zimmer|3 zimmer|3.5 zimmer|4 zimmer|4.5 zimmer|5 zimmer|5.5 zimmer|6 zimmer|6.5 zimmer|7 zimmer|address_short_1|address_short_2|size_num|address_y|latitude|longitude|detail
7|3 Zimmer, 89m², CHF 4’220.– |4220|Forchstrasse 24, 8008 Zürich|Wohnen auf zwei Etagen|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=7/mieten/4000996757|3 Zimmer|89m²|CHF 4’220.– |0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|Forchstrasse 24|8008 Zürich|89.0|Naphtastr. 4, 8005 Zürich|47.3870849609375|8.516118049621582|naphtastrasse 4 8005 zuerich 261 zuerich ch zh
7|6 Zimmer, 147m², CHF 6’370.– |6370|Forchstrasse 22, 8008 Zürich|6-Zimmer-Maisonette-Wohnung an bevorzugter Lage|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=7/mieten/4000996750|6 Zimmer|147m²|CHF 6’370.– |0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|Forchstrasse 22|8008 Zürich|147.0|Bucheggstrasse 21, 8037 Zürich|47.396705627441406|8.528757095336914|bucheggstrasse 21 8037 zuerich 261 zuerich ch zh
7|6.5 Zimmer, 185m², CHF 8’923.– |8923|8002 Zürich|6 ½ Zimmer-Jugendstil-Wohnung mit 185m2 Netto-Wohnfläche mit Balkon und Veranda|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=7/mieten/4000992974|6.5 Zimmer|185m²|CHF 8’923.– |0|0|0|0|0|0|0|0|0|0|0|0|0|1|0||8002 Zürich|185.0|Winterthurerstrasse 295, 8057 Zürich|47.40293884277344|8.553873062133789|winterthurerstrasse 295 8057 zuerich 261 zuerich ch zh
7|4.5 Zimmer, 108m², CHF 3’947.– |3947|Trichtenhausenstrasse 86, 8053 Zürich|Ihre neue 4.5-Zimmerwohnung in der Siedlung Verdiana!|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=7/mieten/4000968829|4.5 Zimmer|108m²|CHF 3’947.– |0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|Trichtenhausenstrasse 86|8053 Zürich|108.0|Dienerstrasse 8, 8004 Zürich|47.377655029296875|8.528881072998047|dienerstrasse 8 8004 zuerich 261 zuerich ch zh
7|4.5 Zimmer, 155m², CHF 3’950.– |3950|Hadlaubstr. 41, 8006 Zürich|Wohnung im schönen Kreis 6 gesucht?|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=7/mieten/4000962664|4.5 Zimmer|155m²|CHF 3’950.– |0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|Hadlaubstr. 41|8006 Zürich|155.0|Seefeldstrasse 102, 8008 Zürich|47.35956954956055|8.552647590637207|seefeldstrasse 102 8008 zuerich 261 zuerich ch zh
7|3 Zimmer, 65m², CHF 1’799.– |1799|Bombachstr. 24, 8049 Zürich|"Heimelige Wohnung in Höngg mieten, ""Befristet bis 31.03.2025"""|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=7/mieten/4000946253|3 Zimmer|65m²|CHF 1’799.– |0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|Bombachstr. 24|8049 Zürich|65.0|Sonneggstrasse 45, 8006 Zürich|47.380638122558594|8.545746803283691|sonneggstrasse 45 8006 zuerich 261 zuerich ch zh
7|4 Zimmer, 77m², CHF 3’461.– |3461|Birmensdorferstrasse 32, 8004 Zürich|Charmante 4-Zimmerwohnung im Herzen Zürich`s|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=7/mieten/4000946243|4 Zimmer|77m²|CHF 3’461.– |0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|Birmensdorferstrasse 32|8004 Zürich|77.0|Wartauweg 19, 8049 Zürich|47.40304183959961|8.49215316772461|wartauweg 19 8049 zuerich 261 zuerich ch zh
7|4.5 Zimmer, 91m², CHF 2’740.– |2740|Dorfstr. 12, 8037 Zürich|Charmante Wohnung in ZH-Wipkingen|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=7/mieten/4000934344|4.5 Zimmer|91m²|CHF 2’740.– |0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|Dorfstr. 12|8037 Zürich|91.0|Wartauweg 19, 8049 Zürich|47.40304183959961|8.49215316772461|wartauweg 19 8049 zuerich 261 zuerich ch zh
7|2.5 Zimmer, 62m², CHF 2’475.– |2475|Hinterbergstrasse 57, 8044 Zürich|2.5 Zimmerwohnung am ruhigen und sonnigen Zürichberg!|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=7/mieten/4000925186|2.5 Zimmer|62m²|CHF 2’475.– |0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|Hinterbergstrasse 57|8044 Zürich|62.0|Wartauweg 19, 8049 Zürich|47.40304183959961|8.49215316772461|wartauweg 19 8049 zuerich 261 zuerich ch zh
7|2.5 Zimmer, 46m², CHF 2’490.– |2490|Schaffhauserstr. 438, 8050 Zürich|SEEBACHERHOF - Exklusive Wohnräume in historischem Glanz!|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=7/mieten/4000920596|2.5 Zimmer|46m²|CHF 2’490.– |0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|Schaffhauserstr. 438|8050 Zürich|46.0|Wartauweg 19, 8049 Zürich|47.40304183959961|8.49215316772461|wartauweg 19 8049 zuerich 261 zuerich ch zh
7|4.5 Zimmer, 123m², CHF 4’224.– |4224|Birchstrasse 183B, 8050 Zürich|Attraktive Wohnung in Zürich-Oerlikon|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=7/mieten/4000908701|4.5 Zimmer|123m²|CHF 4’224.– |0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|Birchstrasse 183B|8050 Zürich|123.0|Wartauweg 19, 8049 Zürich|47.40304183959961|8.49215316772461|wartauweg 19 8049 zuerich 261 zuerich ch zh
7|4.5 Zimmer, 123m², CHF 4’224.– |4224|Birchstrasse 183B, 8050 Zürich|Attraktive Wohnung in Zürich-Oerlikon|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=7/mieten/4000906746|4.5 Zimmer|123m²|CHF 4’224.– |0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|Birchstrasse 183B|8050 Zürich|123.0|Wartauweg 19, 8049 Zürich|47.40304183959961|8.49215316772461|wartauweg 19 8049 zuerich 261 zuerich ch zh
7|2 Zimmer, 51m², CHF 1’543.– |1543|Schaffhauserstr. 411, 8050 Zürich|Befristete 2 Zimmer Wohnung an sehr zentrale Lage|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=7/mieten/4000898642|2 Zimmer|51m²|CHF 1’543.– |0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|Schaffhauserstr. 411|8050 Zürich|51.0|Tödistrasse 63, 8002 Zürich|47.36863708496094|8.532673835754395|toedistrasse 63 8002 zuerich 261 zuerich ch zh
7|3 Zimmer, 97m², CHF 3’990.– |3990|Breitingerstrasse 27, 8002 Zürich|Exklusive und neu erstellte 3-Zimmer-Dachwohnung im schönen Enge-Quartier|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=7/mieten/4000898127|3 Zimmer|97m²|CHF 3’990.– |0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|Breitingerstrasse 27|8002 Zürich|97.0|Wildbachstrasse 39, 8008 Zürich|47.356292724609375|8.557610511779785|wildbachstrasse 39 8008 zuerich 261 zuerich ch zh
7|3 Zimmer, 67m², CHF 2’130.– |2130|Hardaustrasse 21, 8003 Zürich|Befristet für 1 Jahr - Stadtwohnung mit Charme nähe Albisriederplatz|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=7/mieten/4000896839|3 Zimmer|67m²|CHF 2’130.– |0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|Hardaustrasse 21|8003 Zürich|67.0|Leutschenbachstrasse 85, 8052 Zürich|||
