price,address,rooms,size,latitude,longitude,distance_hospital,lr_day,lr_night,distance_ov,wbauj,modern,erstvermietung,zentral,see,neu,stöckig,traum,bijou,neubau,balkon,charmant,erstbezug,1 Zimmer,1.5 Zimmer,2 Zimmer,2.5 Zimmer,3 Zimmer,3.5 Zimmer,4 Zimmer,4.5 Zimmer,5 Zimmer,5.5 Zimmer,6 Zimmer,6.5 Zimmer,7 Zimmer,7.5 Zimmer,y0,y1999,y2000,y2001,y2003,y2004,y2005,y2006,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024
2675,"Affolternstrasse 10, 8050 Zürich",1.5,40,47.41258239746094,8.544683456420898,0.19261963693343703,46.8,37.3,0.07833039106173488,1999,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3971,"Rüdigerstrasse 4, 8045 Zürich",3.5,112,47.36099624633789,8.52193832397461,1.1936408264775662,48.8,43.8,0.13260788423205036,2011,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4970,"Bremgartnerstrasse 51, 8003 Zürich",4.5,141,47.37092590332031,8.518403053283691,1.3515017564515401,41.4,34.9,0.10177052418948425,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4990,"Haspelstrasse 5, 8041 Zürich",2.5,71,47.340545654296875,8.518205642700195,1.6755772227036791,46.6,41.0,0.26621190858450944,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1460,"Viktoriastrasse 29, 8057 Zürich",1.5,23,47.40406799316406,8.55045223236084,1.0104250397830146,40.8,33.1,0.18880901557384666,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3601,"Haldenstrasse 14, 8045 Zürich",2.5,81,47.36336898803711,8.518133163452148,1.5792356378444856,40.2,32.0,0.04707965805159379,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3500,"Käferholzstrasse 52, 8057 Zürich",3.5,100,47.402320861816406,8.531094551086426,0.8580833436508879,44.2,33.1,0.14296085995443822,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5685,"Weinplatz 10, 8001 Zürich",2.5,110,47.371639251708984,8.541848182678223,0.7738565621991115,46.3,39.4,0.05579188781684956,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2159,"Schwandenholzstrasse 234, 8046 Zürich",2.5,86,47.4245491027832,8.52152156829834,2.856141547919952,34.8,27.1,0.0992756771379044,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1920,"Bändlistrasse 62, 8064 Zürich",2.0,53,47.397212982177734,8.483614921569824,3.474381494573343,61.5,55.3,0.1417044789657288,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
